0001-1541	aiche j
0047-2409	j entomol ser a gen entomol
0047-2417	j entomol b
0047-2484	j hum evol
0047-2565	j med primatol
0047-259X	j multivar anal
0047-2670	j photochem
0047-2727	j public econ
0047-2786	j soc philos
0047-2891	j youth adolesc
0047-6374	mech ageing dev
0047-7206	micron
0048-1009	novum testam
0048-3575	pestic biochem physiol
0048-3664	pharm unserer zeit
0048-3893	philosophia
0048-3915	philos public aff
0048-4059	physiol plant pathol
0048-5772	psychophysiology
0048-6604	radio sci
0048-7120	rehabilitación
0048-721X	religion
0048-7333	res policy
0048-7554	rev environ health
0048-7562	rev react species chem react
0048-9697	sci total environ
0049-0172	semin arthritis rheum
0049-089X	soc sci res
0049-3848	thromb res
0049-4488	transportation
0049-4747	trop anim health prod
0049-6979	water air soil pollut
0049-8246	x ray spectrom
0049-8661	z rom philol
0065-101X	acta archaeol
0065-1281	acta histochem
0065-227X	adv biophys
0065-2571	adv enzyme regul
0065-4299	agents actions
0065-6100	albrecht von graefes arch klin exp ophthalmol
0066-1856	anim behav monogr
0066-2232	ann univ mariae curie sklodowska sect c biol
0066-4138	annu rev autom program
0066-4200	annu rev inf sci technol
0066-4812	antipode
0066-6416	arch meteorol geophys bioklimatol a
0066-6424	arch meteorol geophys bioclimatol b climatol environ meteorol radiat res
0066-6459	arch pap forsch verw geb
0066-7374	proc aristot soc
0072-1050	geol j
0072-968X	hand
0073-5655	in vitro
0073-8301	publ math
0074-1612	bull int assoc eng geol
0074-9664	int zoo yearb
0075-4102	j reine angew math
0075-4617	justus liebigs ann chem
0075-7209	kulturpflanze
0075-9511	limnologica
0076-0730	bull univ lond inst class stud
0076-2083	macromol rev
0077-7579	neth j sea res
0077-8923	ann n y acad sci
0079-1636	trans philol soc
0079-1946	phys chem earth
0079-2993	pol psychol bull
0079-4740	ling posnan
0079-4848	praehist z
0079-6107	prog biophys mol biol
0079-6336	prog histochem cytochem
0079-6425	prog mater sci
0079-6565	prog nucl magn reson spectrosc
0079-6611	prog oceanogr
0079-6700	prog polym sci
0079-6727	prog quantum electron
0079-6786	prog solid state chem
0079-6816	prog surf sci
0079-6832	prog chem fats other lipids
0079-9068	qu forsch ital arch bibl
0080-3642	rocz glebozn
0080-3898	rom jahrb
0080-6757	scand polit stud
0081-6272	stud ang posn
0081-6434	stud geomorphol carpatho balc
0081-685X	stud psychol
0082-0784	symp combust proc
0082-5433	t oung pao
0083-6656	vistas astron
0084-0173	wildl monogr
0084-5299	z assyriol vorderasiat archäol
0084-5302	z celt philol
0084-5353	z krebsforsch klin onkol
0084-5604	vestn zool
0084-5620	trans zool soc lond
0084-6724	arch religionspsychol
0085-5553	res phenomenol
0090-0028	nat new biol
0090-1229	clin immunol immunopathol
0090-2977	neurophysiology
0090-3019	surg neurol
0090-4104	j sov math
0090-4295	urology
0090-4341	arch environ contam toxicol
0090-466X	j pharmacokinet biopharm
0090-6905	j psycholinguist res
0090-6964	ann biomed eng
0090-6980	prostaglandins
0090-8258	gynecol oncol
0090-8290	can am slav stud
0091-0562	am j community psychol
0091-0627	j abnorm child psychol
0091-150X	pharm chem j
0091-1674	clin soc work j
0091-2700	j clin pharmacol
0091-2751	j clin ultrasound
0091-3022	front neuroendocrinol
0091-3057	pharmacol biochem behav
0091-6749	j allergy clin immunol
0091-6773	behav biol
0091-7036	int j comput inf sci
0091-7419	j supramol struct
0091-7435	prev med
0091-7648	wildl soc bull
0092-0606	j biol phys
0092-1157	j biol stand
0092-640X	at data nucl data tables
0092-6566	j res pers
0092-8240	bull math biol
0092-8674	cell
0093-0334	hastings cent rep
0093-0415	west j med
0093-061X	gvt publ rev
0093-6413	mech res commun
0093-691X	theriogenology
0093-7711	immunogenetics
0093-7754	semin oncol
0093-934X	brain lang
0094-0143	urol clin north am
0094-0496	am ethnol
0094-114X	mech mach theory
0094-1190	j urban econ
0094-4548	lett heat mass transf
0094-5145	j commun health
0094-5765	acta astronaut
0094-730X	j fluen disord
0094-8276	geophys res lett
0095-0696	j environ econ manage
0095-3628	microb ecol
0095-4403	bull am soc inf sci
0095-4470	j phon
0095-4543	prim care
0095-4616	appl math optim
0095-5108	clin perinatol
0095-8522	j colloid sci
0095-8956	j comb theory ser b
0095-9553	j am pharm assoc
0095-9782	j solution chem
0095-9863	j clin pharmacol j new drugs
0095-9898	j cell comp physiol
0096-0284	j new drugs
0096-0551	comput lang
0096-0802	heat transfer jpn res
0096-140X	aggress behav
0096-3003	appl math comput
0096-3941	eos
0096-6347	am j orthod oral surg
0096-8013	terr magn atmos electr
0096-946X	am doc
0097-0549	neurosci behav physiol
0097-3165	j comb theory ser a
0097-8485	comput chem
0097-8493	comput graph
0098-0331	j chem ecol
0098-0366	somatic cell genet
0098-1273	j polym sci polym phys ed
0098-1354	comput chem eng
0098-1532	med pediatr oncol
0098-2997	mol aspects med
0098-3004	comput geosci
0098-6569	catheter cardiovasc diagn
0098-7913	ser rev
0098-7921	popul dev rev
0098-8472	environ exp bot
0098-8847	earthquake eng struct dyn
0098-9886	int j circuit theory appl
0099-0094	environ geol
0099-1333	j acad librariansh
0099-1767	j emerg nurs
0099-2399	j endod
0105-1873	contact dermatitis
0105-2896	immunol rev
0105-6263	int j androl
0105-7510	orbis litt
0106-9543	liver
0107-055X	nord j bot
0108-0164	acta pathol microbiol immunol scand sect a pathol
0108-0180	acta pathol microbiol immunol scand sect b microbiol
0108-0202	acta pathol microbiol immunol scand sect c immunol
0108-2701	acta crystallogr c cryst struct commun
0108-7673	acta crystallogr a found crystallogr
0108-7681	acta crystallogr b struct sci
0109-5641	dent mater
0129-7619	singap j trop geogr
0133-3852	anal math
0137-1983	ann univ mariae curie sklodowska sect b
0137-2459	pap stud contrastive linguist
0137-477X	quaest geogr
0137-5075	arch acoust
0137-6853	ann univ mariae curie sklodowska sect aa chem
0138-4988	acta biotechnol
0138-9130	scientometrics
0140-0118	med biol eng comput
0140-1750	j soc biol struct
0140-1963	j arid environ
0140-1971	j adolesc
0140-3664	comput commun
0140-5543	bull oxf univ inst econ stat
0140-6701	fuel energ abstr
0140-6736	lancet
0140-7007	int j refrig
0140-7775	j fish dis
0140-7783	j vet pharmacol ther
0140-9883	energy econ
0141-0229	enzyme microb technol
0141-0296	eng struct
0141-1136	mar environ res
0141-1187	appl ocean res
0141-1195	adv eng softw
0141-1926	br educ res j
0141-3910	polym degrad stab
0141-4607	agric wastes
0141-5387	europ j orthodont
0141-5425	j biomed eng
0141-5492	biotechnol lett
0141-6359	precis eng
0141-6707	afr j ecol
0141-6790	art hist
0141-7037	j br contact lens assoc
0141-7681	j epidemiol community health
0141-8130	int j biol macromol
0141-8211	eur j educ
0141-8955	j inherit metab dis
0141-9331	microprocess microsyst
0141-9382	displays
0141-9854	clin lab haematol
0142-0356	j chem technol biotechnol
0142-0615	electr power energy syst
0142-1123	int j fatigue
0142-2421	surf interface anal
0142-2782	biopharm drug dispos
0142-4319	j muscle res cell motil
0142-467X	epidemiol community health
0142-5242	grass forage sci
0142-5463	int j cosmet sci
0142-6001	appl linguist
0142-6338	j trop pediatr
0142-6540	oxf art j
0142-7245	miner environ
0142-727X	int j heat fluid flow
0142-7873	j plankton res
0142-9418	polym test
0142-9612	biomaterials
0143-005X	j epidemiol community health
0143-1471	environ pollut ser a ecol biol
0143-148X	environ pollut ser b chem phys
0143-2087	optim control appl methods
0143-2095	strateg manage j
0143-3334	carcinogenesis
0143-4004	placenta
0143-4160	cell calcium
0143-4179	neuropeptides
0143-6228	appl geogr
0143-6236	soc sci inf stud
0143-7127	oil petrochem pollut
0143-7208	dyes pigm
0143-7496	int j adhes adhes
0143-8166	opt lasers eng
0143-8174	reliab eng
0143-974X	j constr steel res
0143-9782	j time ser anal
0144-1795	j auton pharmacol
0144-2449	zeolites
0144-2880	polym photochem
0144-3887	curr psychol res
0144-3895	curr psychol rev
0144-4565	biomass
0144-5979	clin physiol
0144-6657	br j clin psychol
0144-6665	br j soc psychol
0144-8420	radiat prot dosim
0144-8609	aquac eng
0144-8617	carbohydr polym
0145-2126	leuk res
0145-2134	child abuse neglect
0145-224X	nucl track detect
0145-305X	dev comp immunol
0145-479X	j bioenerg biomembranes
0145-6008	alcohol clin exp res
0145-8876	j food process eng
0145-8884	j food biochem
0145-8892	j food process preserv
0146-0005	semin perinatol
0146-0641	j solid phase biochem
0146-1044	sex disabil
0146-1052	j popul
0146-2806	curr probl cardiol
0146-3535	prog cryst growth charact
0146-4760	j anal toxicol
0146-5724	radiat phys chem
0146-6291	deep sea res
0146-6313	deep sea res
0146-6380	org geochem
0146-6402	adv behav res therapy
0146-6453	ann icrp
0146-6615	j med virol
0146-664X	comput graph image process
0146-7239	motiv emot
0146-8693	j pediatr psychol
0146-9428	j food qual
0147-0272	curr probl cancer
0147-1694	contemp jew
0147-1767	int j intercult relat
0147-2011	society
0147-5916	cogn ther res
0147-5975	exp mycol
0147-619X	plasmid
0147-6513	ecotoxicol environ saf
0147-8389	pacing clin electrophysiol
0147-9563	heart lung
0147-9571	comp immunol microbiol infect dis
0148-0227	j geophys res
0148-0812	j dermatol surg oncol
0148-0847	soc work res abstr
0148-5598	j med syst
0148-639X	muscle nerve
0148-6403	head neck surg
0148-7280	gamete res
0148-7299	am j med genet
0148-9062	int j rock mech min sci geomech abstr
0149-1970	prog nucl energy
0149-2063	j manage
0149-2918	clin ther
0149-6085	j food saf
0149-7634	neurosci biobehav rev
0149-7944	curr surg
0149-936X	ct j comput tomogr
0150-5505	geostand newsl
0151-9107	ann chim
0153-3320	cah linguist asie orient
0160-2896	intelligence
0160-4120	environ int
0160-5402	j pharmacol methods
0160-564X	artif organs
0160-6891	res nurs health
0160-7383	ann tour res
0160-7715	j behav med
0160-8347	estuaries
0160-9327	endeavour
0161-0457	scanning
0161-3499	vet surg
0161-4754	j manip physiol ther
0161-5890	mol immunol
0161-6420	ophthalmology
0161-7346	ultrason imag
0161-7761	anthropol educ q
0161-813X	neurotoxicology
0161-9152	age
0162-0134	j inorg biochem
0162-0436	qual sociol
0162-2641	jid j instr dev
0162-3095	ethol sociobiol
0162-3109	immunopharmacology
0162-3257	j autism dev disord
0162-7546	rev chem intermed
0162-895X	polit psychol
0162-9700	j appl metalwork
0162-9719	j mater energy syst
0163-1047	behav neural biol
0163-2116	dig dis sci
0163-4453	j infect
0163-4984	biol trace elem res
0163-4992	cell biophys
0163-6383	infant behav dev
0163-7258	pharmacol ther
0163-7827	prog lipid res
0163-8343	gen hosp psych
0163-9641	infant ment health j
0163-9803	bioeth q
0164-0291	int j primatol
0164-0305	j behav assess
0164-0313	j fusion energy
0164-1212	j syst softw
0165-0009	clim change
0165-005X	cult med psychiatry
0165-0106	erkenntnis
0165-0114	fuzzy sets syst
0165-0157	linguist philos
0165-0173	brain res rev
0165-0203	nat resour forum
0165-022X	j biochem biophys methods
0165-0270	j neurosci methods
0165-0327	j affect disord
0165-0378	j reprod immunol
0165-0513	recl trav chim pays bas
0165-0572	resour energy
0165-0653	int j adv counsell
0165-0807	moon planets
0165-1110	mutat res rev genet toxicol
0165-1161	mutat res sect environ mutagen relat subj
0165-1218	mutat res genet toxicol test
0165-1633	sol energy mater
0165-1684	signal process
0165-1765	econ lett
0165-1781	psychiatry res
0165-1838	j auton nerv syst
0165-1889	j econ dyn control
0165-2125	wave motion
0165-232X	cold reg sci technol
0165-2370	j anal appl pyrolysis
0165-2427	vet immunol immunopathol
0165-2478	immunol lett
0165-2516	int j sociol lang
0165-3806	dev brain res
0165-4004	folia linguist
0165-4608	cancer genet cytogenet
0165-4888	text
0165-4896	math soc sci
0165-5701	int ophthalmol
0165-5728	j neuroimmunol
0165-5752	syst parasitol
0165-5817	philips j res
0165-5876	int j pediatr otorhinolaryngol
0165-6074	microprocess microprogram
0165-6147	trends pharmacol sci
0165-7380	vet res commun
0165-7836	fish res
0165-7992	mutat res mutat res lett
0165-9936	trac trends anal chem
0166-0934	j virol methods
0166-1280	j mol struct theochem
0166-218X	discrete appl math
0166-2236	trends neurosci
0166-3097	resour conserv
0166-3542	antivir res
0166-3615	comput ind
0166-4328	behav brain res
0166-445X	aquat toxicol
0166-4972	technovation
0166-5162	int j coal geol
0166-5316	perform eval
0166-6622	colloids surf
0166-6851	mol biochem parasitol
0166-8595	photosynth res
0166-8641	topol appl
0166-9834	appl catal
0167-0115	regul pept
0167-1731	fertil res
0167-188X	eng costs prod econ
0167-1987	soil tillage res
0167-2584	surf sci lett
0167-2681	j econ behav organ
0167-2738	solid state ion
0167-2789	physica d
0167-4048	comput secur
0167-4366	agrofor syst
0167-4412	plant mol biol
0167-4544	j bus ethics
0167-4730	struct saf
0167-4781	biochim biophys acta n gene struct expr
0167-4838	biochim biophys acta prot struct mol enzymol
0167-4870	j econ psychol
0167-4889	biochim biophys acta mol cell res
0167-4943	arch gerontol geriatr
0167-5087	nucl instrum methods phys res
0167-5133	j semant
0167-5273	int j cardiol
0167-5699	immunol today
0167-5729	surf sci rep
0167-577X	mater lett
0167-5826	energy agric
0167-5877	prev vet med
0167-594X	j neuro oncol
0167-6105	j wind eng ind aerodyn
0167-6164	j afr lang linguist
0167-6245	inf econ policy
0167-6296	j health econ
0167-6318	linguist rev
0167-6369	environ monit assess
0167-6377	oper res lett
0167-6393	speech commun
0167-6423	sci comput program
0167-6636	mech mater
0167-6687	insur math econ
0167-6806	breast cancer res treat
0167-6857	plant cell tissue organ cult
0167-6903	plant growth regul
0167-6911	syst control lett
0167-6989	react polym ion exch sorbents
0167-6997	invest new drugs
0167-7012	j microbiol methods
0167-7055	comput graph forum
0167-7152	stat probab lett
0167-7187	int j ind organ
0167-7322	j mol liq
0167-739X	fgcs future gener comput syst
0167-7411	topoi
0167-7659	cancer metastasis rev
0167-7764	j atmos chem
0167-7799	trends biotechnol
0167-7861	j incl phenom
0167-7977	comput phys rep
0167-8019	acta appl math
0167-8051	comput stand
0167-806X	nat lang linguist theory
0167-8094	order
0167-8140	radiother oncol
0167-8191	parallel comput
0167-8299	rev chem eng
0167-8396	comput aided geom des
0167-8442	theor appl fract mech
0167-8493	robotics
0167-8507	multilingua
0167-8655	pattern recogn lett
0167-8760	int j psychophysiol
0167-8809	agric ecosyst environ
0167-8817	mutat res dna repair rep
0167-899X	nucl eng des fusion
0167-9031	min sci technol
0167-9236	decis support syst
0167-9260	integration
0167-9287	educ comput
0167-9295	earth moon planets
0167-9317	microelectron eng
0167-9457	hum mov sci
0167-9473	comput stat data anal
0167-9848	husserl stud
0167-9899	int j card imaging
0167-9902	theor med
0167-9945	int j clin monit comput
0168-0072	ann pure appl logic
0168-0102	neurosci res
0168-1176	int j mass spectrom ion process
0168-1591	appl anim behav sci
0168-1605	int j food microbiol
0168-1656	j biotechnol
0168-1699	comput electron agric
0168-1702	virus res
0168-1923	agric for meteorol
0168-2563	biogeochemistry
0168-3659	j control release
0168-5597	electroencephalogr clin neurophysiol evoked potentials
0168-583X	nucl instrum methods phys res sect b beam interact mater atoms
0168-6054	ann réadapt méd phys
0168-6291	irrig drain syst
0168-6445	fems microbiol rev
0168-647X	folia linguist hist
0168-6496	fems microbiol ecol
0168-6577	eur j popul
0168-7336	react solids
0168-7433	j autom reason
0168-8162	exp appl acarol
0168-8227	diabetes res clin pract
0168-8278	j hepatol
0168-8510	health policy
0168-8561	biog amines
0168-874X	finite elem anal des
0168-9002	nucl instrum methods phys res sect a accel spectrom detect assoc equip
0168-9274	appl numer math
0168-9452	plant sci
0168-9525	trends genet
0168-9622	chem geol isot geosci sect
0169-023X	data knowl eng
0169-1015	spat vis
0169-121X	math eng ind
0169-1317	appl clay sci
0169-1368	ore geol rev
0169-2046	landsc urban plan
0169-2070	int j forecast
0169-2607	comput methods programs biomed
0169-328X	mol brain res
0169-3298	surv geophys
0169-3816	j cross cult gerontol
0169-3867	biol philos
0169-3913	transp porous media
0169-409X	adv drug deliv rev
0169-4146	j ind microbiol
0169-4286	new for
0169-4332	appl surf sci
0169-4758	parasitol today
0169-5002	lung cancer
0169-5150	agr econ
0169-5347	trends ecol evol
0169-555X	geomorphology
0169-5983	fluid dyn res
0169-6009	bone miner
0169-6149	orig life evol biosph
0169-6726	ned kunsthist jaarb
0169-7439	chemometr intell lab syst
0169-7552	comput netw isdn syst
0169-7722	j contam hydrol
0169-8095	atmos res
0169-8141	int j ind ergon
0170-0839	polym bull
0170-2041	liebigs ann chem
0170-4214	math methods appl sci
0170-6233	ber wiss gesch
0170-9925	arch gynecol
0171-1091	urol radiol
0171-1741	eur j appl microbiol biotechnol
0171-2985	immunobiology
0171-5216	j cancer res clin oncol
0171-6468	or spektrum
0171-9335	eur j cell biol
0171-967X	calcif tissue int
0172-0643	pediatr cardiol
0172-2190	world pat inf
0172-5564	zentralbl bakteriol 1 abt orig reihe c allg angew ökol mikrobiol
0172-5599	zentralbl bakteriol 1 abt orig a med mikrobiol infektionskr parasitol
0172-8083	curr genet
0172-8172	rheumatol int
0173-0835	electrophoresis
0173-2803	makromol chem rapid commun
0173-4911	j opt commun
0173-5373	amphib reptil
0173-9565	mar ecol
0174-1551	cardiovasc intervent radiol
0174-1578	j compar physiol b biochem syst environ physiol
0174-3031	zentralbl bakteriol mikrobiol hyg 1 abt orig a med mikrobiol infektionskr parasitol
0174-3597	helgol meeresunters
0174-7398	virchows arch a pathol anat histopathol
0175-7571	eur biophys j
0175-758X	eur arch psychiatr neurol sci
0175-7598	appl microbiol biotechnol
0175-8659	j appl ichthyol
0176-1617	j plant physiol
0176-4268	j classif
0176-4276	constr approx
0176-6724	zent bl bakteriol mikrobiol hyg ser a med microbiol infect dis virol parasitol
0177-0543	zent bl vet med a anim physiol pathol clin vet med
0177-0667	eng comput
0177-3593	biol chem hoppe seyler
0177-7963	few body syst
0177-7971	meteorol atmos phys
0177-798X	theor appl climatol
0178-2762	biol fertil soils
0178-2770	distrib comput
0178-2789	vis comput
0178-4617	algorithmica
0178-515X	bioprocess eng
0178-7675	comput mech
0178-8051	probab theory relat fields
0179-0358	pediatr surg int
0179-051X	dysphagia
0179-1613	ethology
0179-1958	int j colorectal dis
0179-9541	plant breed
0181-1568	cryptogam algol
0181-1584	cryptogam mycol
0188-4409	arch med res
0190-0536	philos invest
0190-3799	natl municip rev
0190-7409	child youth serv rev
0190-9177	j heat treat
0190-9622	j am acad dermatol
0191-2607	transp res part a gen
0191-2615	transp res part b methodol
0191-278X	nucl tracks
0191-5665	mech compos mater
0191-5886	j nonverbal behav
0191-6599	hist eur ideas
0191-8141	j struct geol
0191-815X	nucl chem waste manage
0191-8869	pers individ differ
0192-0561	int j immunopharmacol
0192-2521	environ mutagen
0192-253X	dev genet
0192-8651	j comput chem
0193-3973	j appl dev psychol
0193-4929	rev inorg chem
0193-7197	j vinyl technol
0193-936X	epidemiol rev
0193-953X	psychiatr clin north am
0194-472X	j marital fam ther
0194-5998	otolaryngol head neck surg
0194-6595	int j sociol law
0195-5616	vet clin north am small anim pract
0195-6663	appetite
0195-6671	cretac res
0195-668X	eur heart j
0195-6698	eur j comb
0195-6701	j hosp infect
0195-9255	environ impact assess rev
0195-928X	int j thermophys
0195-9298	j nondestr eval
0196-0644	ann emerg med
0196-0709	am j otolaryngol
0196-4399	clin microbiol newsl
0196-6553	am j infect control
0196-6774	j algorithms
0196-8092	lasers surg med
0196-8858	adv appl math
0196-8904	energy convers manage
0196-9781	peptides
0197-0070	j adolesc health care
0197-0186	neurochem int
0197-2456	control clin trials
0197-3851	prenat diagn
0197-4556	arts psychother
0197-4572	geriatr nurs
0197-4580	neurobiol aging
0197-6664	fam relat
0197-6729	j adv transp
0197-8462	bioelectromagnetics
0197-9183	int migr rev
0197-9337	earth surf processes landf
0198-0149	deep sea res part a oceanogr res pap
0198-0254	deep sea res part b oceanogr lit rev
0198-6325	med res rev
0198-7593	j heat recovery syst
0198-8859	hum immunol
0198-9715	comput environ urban syst
0208-6425	inz chem proces
0209-9683	combinatorica
0210-4806	actas urol esp
0210-5691	med intensiva
0210-5705	gastroenterol hepatol
0210-573X	clín invest ginecol obstet
0211-139X	rev esp geriatr gerontol
0212-6567	aten prim
0212-6982	rev esp med nucl
0213-005X	enferm infecc microbiol clin
0213-8190	trab estad
0213-8204	trab invest oper
0217-9822	j electron
0221-8747	metab bone dis relat res
0222-0776	rbm rev eur biotechnol méd
0222-9617	neuropsychiatr enfance adolesc
0223-5234	eur j med chem
0231-4428	acta phys hung
0232-1300	cryst res technol
0232-1513	exp pathol
0232-4393	zent bl mikrobiol
0233-111X	j basic microbiol
0236-5294	acta math hung
0236-5731	j radioanal nucl chem
0236-8722	int agrophys
0239-7528	bull pol acad sci tech sci
0246-0203	ann i h p probab stat
0248-4900	biol cell
0248-8663	rev méd interne
0250-4707	bull mater sci
0250-5991	j biosci
0250-6335	j astrophys astron
0250-6874	sens actuators
0250-8052	bull oepp
0251-1088	environmentalist
0253-4126	proc indian acad sci earth planet sci
0253-4134	proc indian acad sci chem sci
0253-4142	proc indian acad sci math sci
0253-4827	appl math mech
0253-486X	geochemistry
0253-6269	arch pharm res
0254-0584	mater chem phys
0254-4059	chin j oceanol limnol
0254-5330	ann oper res
0255-2701	chem eng process
0255-660X	photonirvachak
0256-1530	adv atmos sci
0256-2499	sadhana
0256-7040	child s nerv syst
0257-0130	queueing syst
0257-277X	immunol res
0257-8972	surf coat technol
0258-0322	makromol chem macromol symp
0258-8900	bull volcanol
0259-9791	j math chem
0260-1230	j molluscan stud
0260-437X	jat j appl toxicol
0260-8774	j food eng
0261-2194	crop prot
0261-3069	mater des
0261-4189	embo j
0261-510X	br j dev psychol
0261-5614	clin nutr
0261-7277	int j soil dyn earthqu eng
0261-8028	j mater sci lett
0262-0898	clin exp metastasis
0262-1746	prostaglandins leukot med
0262-1762	world pumps
0262-2750	fr stud bull
0262-5075	int j cem compos lightweight concr
0262-5253	oxf j archaeol
0262-8856	image vis comput
0263-0338	afr archaeol rev
0263-2136	fam pract
0263-2241	measurement
0263-323X	j law soc
0263-4368	int j refract hard met
0263-6484	cell biochem funct
0263-7103	br j rheumatol
0263-7855	j mol graph
0263-8223	compos struct
0263-8231	thin walled struct
0263-8762	chem eng res des
0264-3413	j chem technol biotechnol chem technol
0264-3421	j chem technol biotechnol biotechnol
0264-3707	j geodyn
0264-3758	j appl philos
0264-410X	vaccine
0264-4924	arch emerg med
0264-682X	eng anal
0264-8172	mar pet geol
0264-8377	land use policy
0265-0665	econ aff
0265-0762	mircen j appl microbiol biotechnol
0265-3036	int biodeterior
0265-5527	howard j crim justice
0265-6582	j synth lubr
0265-9247	bioessays
0265-928X	biosensors
0265-931X	j environ radioact
0265-9883	br j psychother
0266-0032	soil use manage
0266-1144	geotext geomembr
0266-352X	comput geotech
0266-3538	compos sci technol
0266-4348	genitourin med
0266-4356	br j oral maxillofac surg
0266-4720	expert syst
0266-4909	j comput assist learn
0266-6138	midwifery
0266-6979	geol today
0266-7215	eur sociol rev
0266-7681	j hand surg br vol
0266-8920	probab eng mech
0266-9838	environ softw
0267-0623	br med j
0267-3649	comput law secur rep
0267-3762	int j high technol ceram
0267-4874	adv contracept
0267-6605	clin mater
0267-7261	soil dyn earthqu eng
0267-8179	jqs j quat sci
0267-8357	mutagenesis
0268-0033	clin biomech
0268-005X	food hydrocoll
0268-1064	mind lang
0268-1145	lit linguist comput
0268-1153	health educ res
0268-1161	hum reprod
0268-2575	j chem technol biotechnol
0268-2605	appl organomet chem
0268-3768	int j adv manuf technol
0268-4012	int j inf manage
0268-540X	anthropol today
0268-8921	lasers med sci
0268-9146	anim genet
0268-9499	fibrinolysis
0268-960X	blood rev
0269-0136	int j min geol eng
0269-1191	fr hist
0269-1213	renaiss stud
0269-2139	protein eng
0269-2821	artif intell rev
0269-283X	med vet entomol
0269-3879	bmc biomed chromatogr
0269-4042	environ geochem health
0269-4727	j clin pharm ther
0269-5022	pediatr perinat epidemiol
0269-7483	biol resour
0269-7491	environ pollut
0269-7653	evol ecol
0269-8579	oil chem pollut
0269-915X	mycologist
0269-994X	appl psychol
0270-2010	j sov laser res
0270-3092	appl res ment retard
0270-3211	teratog carcinog mutagen
0270-4137	prostate
0270-4684	anal intervent dev disabil
0270-9139	hepatology
0271-2075	public adm dev
0271-2091	int j numer methods fluids
0271-3586	am j ind med
0271-5309	lang commun
0271-5317	nutr res
0271-6585	cell motil
0271-7352	am j reprod immunol
0271-9142	j clin immunol
0272-0590	fundam appl toxicol
0272-4324	plasma chem plasma process
0272-4332	risk anal
0272-4340	cell mol neurobiol
0272-4391	drug dev res
0272-4944	j environ psychol
0272-4960	ima j appl math
0272-4979	ima j numer anal
0272-5231	clin chest med
0272-6386	am j kidney dis
0272-6963	j oper manag
0272-7358	clin psychol rev
0272-7714	estuar coast shelf sci
0272-7757	econ educ rev
0272-8397	polym compos
0272-8842	ceram int
0273-1177	adv space res
0273-1223	water sci technol
0273-2289	appl biochem biotechnol
0273-2297	dev rev
0273-2300	regul toxicol pharmacol
0273-8570	j field ornithol
0275-1062	chin astron astrophys
0275-1879	spec care dent
0275-2565	am j primatol
0275-3723	j supramol struct cell biochem
0275-5408	ophthalmic physiolog opt
0276-0460	geo mar lett
0276-1114	mod jud
0276-3478	int j eat disord
0277-0008	pharmacotherapy
0277-0180	opec rev
0277-0326	semin anesth
0277-3791	quat sci rev
0277-5379	eur j cancer clin oncol
0277-5387	polyhedron
0277-5395	women s stud int forum
0277-6693	j forecast
0277-6715	stat med
0277-7037	mass spectrom rev
0277-8033	j protein chem
0277-8068	j crystallogr spectrosc res
0277-9390	gov pub rev
0277-9536	soc sci med
0278-0232	hematol oncol
0278-0372	j crustac biol
0278-081X	circuits syst signal process
0278-095X	j prim prev
0278-2316	infect dis newsl
0278-2391	j oral maxillofac surg
0278-2626	brain cogn
0278-4165	j anthropol archaeol
0278-4327	prog retin res
0278-4343	cont shelf res
0278-4491	environ prog
0278-4513	plant oper prog
0278-4807	rehabil nurs
0278-5846	prog neuro psychopharmacol biol psychiatr
0278-5919	clin sports med
0278-6125	j manuf syst
0278-6915	food chem toxicol
0278-7407	tectonics
0278-9523	j bioeth
0279-0750	pac philos q
0282-0080	glycoconj j
0283-9318	scand j caring sci
0288-3635	new gener comput
0289-0771	j ethol
0294-1260	ann chir plast esthét
0294-1449	ann inst henri poincaré anal non linéaire
0294-3506	biofutur
0300-0664	clin endocrinol
0300-1237	eur j for pathol
0300-2896	arch bronconeumol
0300-2977	neth j med
0300-3256	zool scr
0300-483X	toxicology
0300-4864	j neurocytol
0300-5577	j perinat med
0300-5623	urol res
0300-5712	j dent
0300-5771	int j epidemiol
0300-595X	clin endocrinol metab
0300-7839	hum ecol
0300-8126	infection
0300-8177	mol cell biochem
0300-8428	basic res cardiol
0300-8584	med microbiol immunol
0300-8614	arch klin exp dermatol
0300-872X	z immunitätsforsch exp klin immunol
0300-8746	nat phys sci
0300-8932	rev esp cardiol
0300-9084	biochimie
0300-9130	res exp med
0300-9416	electrodepos surf treat
0300-9432	forensic sci
0300-9440	prog org coat
0300-9467	chem eng j
0300-9483	boreas
0300-9564	j neural transm
0300-9572	resuscitation
0300-9629	comp biochem physiol a comp physiol
0300-9696	beitr klin erforsch tuberk lungenkr
0300-9785	int j oral surg
0301-0082	prog neurobiol
0301-0104	chem phys
0301-0449	pediatr radiol
0301-0481	h g z hautkr
0301-0503	j maxillofac surg
0301-0511	biol psychol
0301-0546	allergol immunopathol
0301-1585	z krebsforsch
0301-1623	int urol nephrol
0301-2115	eur j obstet gynecol reprod biol
0301-3294	zgl z ger linguist
0301-4207	resour policy
0301-4215	energy policy
0301-4428	theor linguist
0301-4622	biophys chemist
0301-4681	differentiation
0301-472X	exp hematol
0301-4797	j environ manage
0301-4851	mol biol rep
0301-486X	mycopathologia
0301-5548	eur j appl physiol occup physiol
0301-5564	histochemistry
